,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
216,연희주유소,SK에너지,서울 서대문구 연희로 129 (연희동 89-7번지),"1,698","1,898",ON,OFF,OFF,ON,OFF
217,만남의광장주유소,알뜰(ex),서울 서초구 양재대로12길 73-71,"1,598","1,799",OFF,ON,OFF,ON,ON
218,현대오일뱅크㈜직영 사평로주유소,현대오일뱅크,서울 서초구 사평대로 350 (서초동),"1,682","1,877",ON,OFF,OFF,OFF,OFF
219,대성산업(주)직영 강남주유소,GS칼텍스,서울 서초구 반포대로 284 (반포동),"1,695","1,899",OFF,OFF,OFF,OFF,OFF
220,반포그린주유소,GS칼텍스,서울 서초구 서초중앙로 239 (반포동),"1,695","1,941",ON,OFF,OFF,OFF,OFF
221,에너지플러스허브 삼방주유소,GS칼텍스,서울 서초구 사평대로 364 (서초동),"1,695","1,941",ON,OFF,OFF,OFF,ON
222,지에스칼텍스(주)선천주유소,GS칼텍스,서울 서초구 동작대로 206 (방배동),"1,696","1,908",ON,OFF,OFF,OFF,OFF
223,대성산업(주)직영 터미널(고속)주유소,GS칼텍스,서울 서초구 신반포로 222 (반포동),"1,698","1,944",ON,OFF,OFF,OFF,ON
224,(주)대농석유 남태령주유소,SK에너지,서울 서초구 과천대로 838 (방배동),"1,705","1,875",ON,OFF,OFF,OFF,OFF
225,에쓰오일(주)직영 오토테크주유소,S-OIL,서울특별시 서초구  효령로 356 (서초동),"1,709","1,939",ON,OFF,ON,OFF,OFF
226,한독주유소,GS칼텍스,서울 서초구 방배로 218 (방배동),"1,710","1,857",OFF,OFF,OFF,OFF,OFF
227,신반포주유소,SK에너지,서울 서초구 사평대로 94 (반포동),"1,710","1,857",ON,OFF,OFF,OFF,ON
228,현대오일뱅크(주)직영 서초제일주유소,현대오일뱅크,서울 서초구 사임당로 116 (서초동),"1,710","1,919",ON,OFF,OFF,OFF,OFF
229,현대오일뱅크(주)직영 팔레스주유소,현대오일뱅크,서울 서초구 사평대로 136 (반포동),"1,710","1,889",OFF,OFF,OFF,OFF,OFF
230,극동유화(주) 전당앞주유소,S-OIL,서울 서초구 남부순환로 2391 (서초동),"1,715","1,905",ON,ON,ON,OFF,OFF
231,현대오일뱅크(주)직영 방배현대주유소,현대오일뱅크,서울 서초구 동작대로 182 (방배동),"1,717","1,889",ON,OFF,ON,OFF,OFF
232,헌릉로주유소,S-OIL,서울 서초구 헌릉로 177 (내곡동),"1,719","1,879",OFF,OFF,OFF,OFF,OFF
233,태봉셀프주유소,SK에너지,서울 서초구 태봉로 117 (우면동),"1,729","1,907",ON,OFF,ON,OFF,OFF
234,(주)한미석유 서초주유소,GS칼텍스,서울 서초구 반포대로 64 (서초동),"1,735","1,885",OFF,OFF,OFF,OFF,OFF
235,대성석유(주)연일주유소,GS칼텍스,서울 서초구 남부순환로 2451,"1,736","1,898",ON,OFF,OFF,ON,OFF
236,서초꽃마을주유소,GS칼텍스,서울 서초구 반포대로 69 (서초동),"1,745","1,895",OFF,OFF,OFF,OFF,OFF
237,대신석유(주)대우주유소,SK에너지,서울 서초구 양재대로 173 (양재동),"1,749","1,907",ON,OFF,OFF,ON,ON
238,현대오일뱅크㈜직영 양재현대주유소,현대오일뱅크,서울 서초구 마방로 6,"1,750","1,898",ON,OFF,OFF,OFF,OFF
239,말죽거리주유소,GS칼텍스,서울 서초구 남부순환로 2650 (양재동),"1,756","1,896",OFF,OFF,OFF,OFF,OFF
240,(주)홈런주유소,S-OIL,서울 서초구 양재대로2길 100-30 (우면동),"1,778","1,978",ON,OFF,OFF,OFF,ON
241,양재주유소,SK에너지,서울 서초구 바우뫼로 178,"1,780","1,918",ON,OFF,OFF,OFF,ON
242,지에스칼텍스(주)남서울주유소,GS칼텍스,서울 서초구 나루터로 83 (잠원동),"1,794","1,951",ON,OFF,OFF,ON,ON
243,방배동주유소,SK에너지,서울 서초구 효령로 29 (방배동),"1,893","1,991",ON,OFF,OFF,OFF,OFF
244,대신석유㈜서원주유소,SK에너지,서울 서초구 반포대로 142 (서초동),"2,098","2,198",ON,OFF,OFF,OFF,OFF
245,(주)선문에너지 중앙주유소,S-OIL,서울특별시 서초구  바우뫼로 219 (양재1동),"2,289","2,388",ON,OFF,OFF,OFF,OFF
246,양재최고주유소,S-OIL,서울 서초구 매헌로 72 (양재동),"2,395","2,395",ON,OFF,OFF,OFF,OFF
247,KLP제2주유소,현대오일뱅크,서울 성동구 동일로 249 (송정동),"1,624","1,879",OFF,OFF,OFF,OFF,OFF
248,(주)서울에너지 직영,S-OIL,서울 성동구 천호대로 324 (용답동),"1,635","1,827",ON,OFF,OFF,OFF,ON
249,(주)서울에너지 직영,S-OIL,서울 성동구 천호대로 324 (용답동),"1,635","1,827",ON,OFF,OFF,OFF,ON
