,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
14,지에스칼텍스㈜에너지플러스허브GS타워,GS칼텍스,서울 강남구 논현로 516 (역삼동),"1,784","1,973",OFF,OFF,ON,OFF,ON
15,(유)동하석유 힐탑셀프주유소,SK에너지,서울 강남구 논현로 640,"1,797","1,997",ON,OFF,OFF,OFF,ON
16,대동석유 압구정주유소,SK에너지,서울 강남구 언주로 842 (신사동),"1,797","1,977",ON,OFF,OFF,OFF,ON
17,에스제이에너지산업(주) 개포주유소,GS칼텍스,서울 강남구 양재대로 339,"1,798","2,178",ON,OFF,OFF,OFF,OFF
18,에쓰-오일㈜직영 개나리주유소,S-OIL,서울 강남구 언주로 423 (역삼동),"1,829","2,029",ON,OFF,OFF,OFF,ON
19,현대오일뱅크(주)직영 신사현대주유소,현대오일뱅크,서울 강남구 도산대로 163 (신사동),"1,898","1,984",ON,OFF,OFF,OFF,OFF
20,삼성동주유소,현대오일뱅크,서울 강남구 테헤란로 619 (삼성동),"1,909","2,029",ON,OFF,OFF,OFF,OFF
21,지에스칼텍스㈜ 은마주유소,GS칼텍스,서울 강남구 영동대로 235,"1,912","2,049",ON,OFF,ON,OFF,ON
22,현대오일뱅크(주)직영 한양주유소,현대오일뱅크,서울 강남구 압구정로 302 (신사동),"1,947","1,994",ON,OFF,OFF,OFF,OFF
23,대성석유(주)동호주유소,GS칼텍스,서울 강남구 봉은사로113길 51,"1,979","2,122",OFF,OFF,OFF,OFF,OFF
24,(주)소모에너지 쎈트럴주유소,GS칼텍스,서울 강남구 삼성로 335,"1,998","2,099",ON,OFF,OFF,OFF,OFF
25,지에스칼텍스㈜ 삼성로주유소,GS칼텍스,서울 강남구 삼성로 563 (삼성동),"1,998","2,099",ON,OFF,OFF,OFF,ON
26,지에스칼텍스(주)학여울주유소,GS칼텍스,서울 강남구 남부순환로 3170 (일원2동),"2,044","2,192",ON,OFF,OFF,OFF,OFF
27,명품주유소,S-OIL,서울 강남구 도곡로 249 (역삼동),"2,197","2,279",ON,OFF,OFF,OFF,ON
28,㈜새서울석유 새서울주유소,현대오일뱅크,서울 강남구 압구정로 154,"2,198","2,289",ON,OFF,OFF,OFF,ON
29,대청주유소,SK에너지,서울 강남구 개포로 654 (일원동),"2,246","2,299",ON,OFF,OFF,OFF,OFF
30,(주)새서울네트웍스 제이제이주유소,현대오일뱅크,서울 강남구 언주로 716,"2,248","2,437",ON,OFF,OFF,OFF,ON
31,SK논현주유소,SK에너지,서울 강남구 논현로 747 (논현동),"2,345","2,375",ON,OFF,ON,OFF,ON
32,갤러리아주유소,SK에너지,서울 강남구 압구정로 426,"2,362","2,377",ON,OFF,OFF,OFF,OFF
33,(주)만정에너지 삼보주유소,GS칼텍스,서울 강남구 봉은사로 433 (삼성동),"2,598","2,590",ON,OFF,OFF,OFF,OFF
34,재건에너지 재정제2주유소 고속셀프지점,현대오일뱅크,서울특별시 강동구  천호대로 1246 (둔촌제2동),"1,669","1,839",ON,OFF,OFF,OFF,OFF
35,재건에너지 재정제2주유소 고속셀프지점,현대오일뱅크,서울특별시 강동구  천호대로 1246 (둔촌제2동),"1,669","1,839",ON,OFF,OFF,OFF,OFF
36,구천면주유소,현대오일뱅크,서울 강동구 구천면로 357 (암사동),"1,684","1,865",OFF,OFF,OFF,OFF,OFF
37,(주)소모에너지 신월셀프주유소,GS칼텍스,서울 강동구 양재대로 1323 (성내동),"1,695","1,868",ON,OFF,OFF,OFF,OFF
38,방아다리주유소,SK에너지,서울 강동구 동남로 811 (명일동),"1,695","1,895",ON,OFF,OFF,OFF,OFF
39,(주)삼표에너지 고덕주유소,GS칼텍스,서울 강동구 고덕로 39 (암사동),"1,726","1,879",ON,OFF,OFF,ON,OFF
40,대성석유(주)길동주유소,GS칼텍스,서울 강동구 천호대로 1168,"1,736","1,899",ON,OFF,OFF,OFF,OFF
41,sk해뜨는주유소,SK에너지,서울 강동구  상일로 132 (강일동),"1,755","1,899",ON,OFF,ON,OFF,OFF
42,지에스칼텍스㈜ 동서울주유소,GS칼텍스,서울 강동구 천호대로 1456 (상일동),"1,758","1,993",ON,OFF,OFF,OFF,OFF
43,주)지유에너지직영 오렌지주유소,SK에너지,서울 강동구 성안로 102 (성내동),"1,796","1,896",ON,OFF,ON,OFF,OFF
44,(주)퍼스트오일 코알라주유소,S-OIL,서울특별시 강동구  올림픽로 556 (성내동),"1,798","1,928",ON,OFF,OFF,OFF,OFF
45,(주)소모에너지 성내주유소,GS칼텍스,서울 강동구 올림픽로 578 (성내동),"1,798","1,898",ON,OFF,ON,OFF,OFF
46,천호현대주유소,현대오일뱅크,서울 강동구 천중로 67 (천호동),"1,848","2,051",ON,OFF,ON,OFF,OFF
47,광성주유소,S-OIL,서울 강동구 올림픽로 673 (천호동),"1,978","2,108",ON,OFF,ON,OFF,ON
48,(주)석산에너지,현대오일뱅크,서울 강북구 삼양로 316 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,OFF
49,SK에너지(주) 매일주유소,SK에너지,서울 강북구 삼양로 217 (미아동),"1,625","1,845",ON,OFF,OFF,ON,OFF
50,수유동주유소,GS칼텍스,서울 강북구 도봉로 395 (수유동),"1,625","1,795",ON,OFF,OFF,OFF,ON
51,북서울고속주유소,SK에너지,서울 강북구 삼양로 410 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,ON
52,(주)서울에너지 시민주유소,현대오일뱅크,서울 강북구 인수봉로 185 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,OFF
53,덕릉로주유소,S-OIL,서울 강북구 덕릉로 158 (번동),"1,635","1,825",ON,OFF,OFF,OFF,OFF
54,씨앤에스유통㈜ 미아셀프주유소,S-OIL,서울 강북구 도봉로 200 (미아동),"1,635","1,825",ON,OFF,OFF,OFF,OFF
55,현대오일뱅크(주)직영 번동셀프주유소,현대오일뱅크,서울 강북구 한천로 963 (번동),"1,637","1,827",ON,OFF,ON,OFF,ON
56,세원주유소,SK에너지,서울 강북구 한천로 918 (번동),"1,658","1,848",ON,OFF,OFF,OFF,OFF
57,대성석유(주)신광주유소,GS칼텍스,서울 강북구 삼양로 484,"1,665","1,855",ON,OFF,ON,OFF,OFF
58,에덴주유소,SK에너지,서울 강북구 월계로 195 (번동),"1,689","1,879",ON,OFF,ON,OFF,OFF
59,화곡역주유소,알뜰주유소,서울 강서구 강서로 154 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,ON
60,뉴신정주유소,알뜰주유소,서울 강서구 곰달래로 207 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,OFF
61,뉴신정주유소,알뜰주유소,서울 강서구 곰달래로 207 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,OFF
62,이케이에너지(주) 강서주유소,현대오일뱅크,서울 강서구 화곡로 273 (화곡동),"1,574","1,807",ON,OFF,ON,OFF,OFF
63,강서오곡셀프주유소,SK에너지,서울 강서구 벌말로 254 (오곡동),"1,585","1,885",ON,OFF,OFF,OFF,ON
64,KH에너지(주)직영 KH외발산주유소,SK에너지,서울 강서구 방화대로 30,"1,597","1,842",ON,ON,ON,ON,OFF
65,지에스칼텍스㈜ 경인고속주유소,GS칼텍스,서울 강서구 국회대로 225 (화곡동),"1,610","1,849",ON,ON,ON,OFF,ON
66,방화주유소,SK에너지,서울 강서구 방화동로 58-2 (방화동),"1,613","1,833",OFF,OFF,OFF,OFF,OFF
67,행촌에너지 공항주유소,현대오일뱅크,서울 강서구 개화동로 420 (개화동),"1,614","1,834",ON,OFF,ON,ON,ON
68,행촌에너지 공항주유소,현대오일뱅크,서울 강서구 개화동로 420 (개화동),"1,614","1,834",ON,OFF,ON,ON,ON
69,스카이주유소,S-OIL,서울 강서구 개화동로 457 (방화동),"1,639","1,865",ON,OFF,OFF,OFF,ON
70,개화주유소,SK에너지,서울 강서구 양천로 57,"1,647","1,867",ON,OFF,OFF,OFF,OFF
71,(주)한진 김포공항주유소,S-OIL,서울 강서구 하늘길 259,"1,649","1,849",ON,OFF,OFF,OFF,OFF
72,현대오일뱅크 등촌주유소,현대오일뱅크,서울 강서구 등촌로 189 (등촌동),"1,666","1,866",ON,OFF,OFF,OFF,OFF
73,화곡현대주유소,SK에너지,서울 강서구 강서로 151 (화곡동),"1,667","1,886",ON,OFF,OFF,OFF,ON
74,강서열린주유소,GS칼텍스,서울 강서구 등촌로 213 (등촌동),"1,668","1,838",ON,OFF,OFF,OFF,OFF
75,신화곡주유소,S-OIL,서울 강서구 국회대로 71,"1,675","1,895",ON,OFF,OFF,OFF,OFF
76,하이웨이주유소,S-OIL,서울특별시 강서구 공항대로 432(화곡동),"1,677","1,897",ON,OFF,OFF,ON,ON
77,현대오일뱅크 양화교주유소,현대오일뱅크,서울 강서구 공항대로 653,"1,682","1,865",ON,OFF,OFF,OFF,OFF
78,현대오일뱅크(주) 가양주유소,현대오일뱅크,서울 강서구  양천로 391 (가양동),"1,690","1,848",ON,OFF,OFF,OFF,OFF
79,우장산주유소,SK에너지,서울 강서구 강서로 292 (내발산동),"1,695","1,895",OFF,OFF,OFF,OFF,OFF
80,대성석유(주)방화대성주유소,GS칼텍스,서울 강서구 양천로 176,"1,696","1,898",ON,OFF,OFF,ON,OFF
81,오션네트웍스(주) 서울식물원지점,SK에너지,서울 강서구 양천로 300,"1,696","1,878",OFF,OFF,OFF,OFF,OFF
82,대성석유(주) 관문주유소,GS칼텍스,서울 강서구 공항대로 314,"1,696","1,898",ON,OFF,ON,OFF,OFF
83,대성석유(주) 마곡대성주유소,GS칼텍스,서울 강서구 강서로 457,"1,696","1,878",OFF,OFF,OFF,OFF,OFF
84,대성주유소,GS칼텍스,서울 강서구 강서로 472,"1,716","1,898",ON,OFF,ON,OFF,OFF
85,KH에너지(주)직영 가양주유소,SK에너지,서울 강서구 강서로 498 (가양동),"1,716","1,898",ON,OFF,ON,ON,ON
86,세원제1주유소,SK에너지,서울 강서구 양천로 311 (가양동),"1,730","1,880",ON,OFF,ON,OFF,OFF
87,(주)한진 김포공항제2주유소,S-OIL,서울 강서구 하늘길 112,"1,734","1,918",OFF,OFF,OFF,OFF,OFF
88,코리나(주)청룡주유소,SK에너지,서울 강서구 양천로 576,"1,748","1,898",ON,OFF,OFF,OFF,OFF
89,박물관주유소,GS칼텍스,서울 강서구 양천로53길 97 (가양동),"1,778","1,928",ON,OFF,ON,ON,OFF
90,참솔에너지,S-OIL,서울 강서구 벌말로 281 (오곡동),"1,852","1,997",ON,OFF,OFF,OFF,ON
91,염창동주유소,SK에너지,서울 강서구 양천로 720 (염창동),"1,998","2,098",ON,OFF,OFF,OFF,OFF
92,현대오일뱅크(주)직영 문성골주유소,현대오일뱅크,서울 관악구 문성로 97 (신림동),"1,639","1,854",ON,OFF,OFF,OFF,OFF
93,(주)연우에너지 신관주유소,알뜰주유소,서울 관악구 신림로 290 (신림동),"1,655","1,865",ON,OFF,OFF,OFF,OFF
94,(주)엠오티이엔지 직영 삼화주유소,현대오일뱅크,서울 관악구 보라매로 41,"1,669","1,859",OFF,OFF,OFF,OFF,ON
95,현대오일뱅크(주)직영 관악셀프주유소,현대오일뱅크,서울 관악구 남부순환로 1520 (신림동),"1,684","1,869",OFF,OFF,OFF,OFF,OFF
96,SK에너지(주)직영 대공원주유소,SK에너지,서울 관악구 과천대로 921 (남현동),"1,689","1,869",ON,OFF,ON,ON,OFF
97,서일석유(주)락성주유소,GS칼텍스,서울 관악구 남부순환로 1920 (봉천동),"1,689","1,879",ON,OFF,ON,OFF,ON
98,현대주유소,현대오일뱅크,서울 관악구 난곡로 108 (신림동),"1,689","1,869",OFF,OFF,OFF,OFF,OFF
99,유림주유소,S-OIL,서울 관악구 신림로 176 (신림동),"1,698","1,888",ON,OFF,ON,OFF,ON
100,대양석유(주)직영 보라매주유소,SK에너지,서울 관악구  보라매로 26 (봉천동),"1,699","1,859",ON,OFF,OFF,OFF,OFF
101,SK에너지(주) 신봉천,SK에너지,서울 관악구 남부순환로 1880 (봉천동),"1,699","1,879",ON,OFF,OFF,ON,OFF
102,지에스칼텍스㈜ 난곡주유소,GS칼텍스,서울 관악구 난곡로 206,"1,741","1,923",OFF,OFF,OFF,OFF,OFF
103,관악시몬주유소,S-OIL,서울특별시 관악구 남부순환로 1753 (봉천동),"1,756","1,936",ON,OFF,OFF,OFF,OFF
104,(주)한유에너지행운셀프주유소,SK에너지,서울 관악구 남부순환로 1883 (봉천동),"1,769","1,917",ON,OFF,OFF,OFF,OFF
105,CJ대한통운㈜ 신림주유소,GS칼텍스,서울 관악구 남부순환로 1515 (신림동),"1,798","1,978",ON,OFF,OFF,OFF,OFF
106,태양주유소,현대오일뱅크,서울 광진구 동일로 345 (중곡동),"1,624","1,824",OFF,OFF,OFF,OFF,ON
107,현대오일뱅크(주)직영 중곡현대주유소,현대오일뱅크,서울 광진구 동일로 435 (중곡동),"1,625","1,825",ON,OFF,OFF,OFF,OFF
108,현대오일뱅크(주) 중원셀프주유소,현대오일뱅크,서울 광진구 동일로 398 (중곡동),"1,625","1,825",ON,OFF,OFF,OFF,OFF
109,현대오일뱅크(주)직영 능동주유소,현대오일뱅크,서울 광진구 천호대로 584 (능동),"1,625","1,815",ON,OFF,ON,OFF,ON
110,(주)창원CW,현대오일뱅크,서울 광진구 광나루로 460 (화양동),"1,625","1,815",ON,OFF,OFF,OFF,OFF
111,정해네트웍스(주)일진주유소,S-OIL,서울 광진구 동일로 413 (중곡동),"1,627","1,827",ON,OFF,OFF,OFF,ON
112,용마주유소,GS칼텍스,서울 광진구 용마산로 68 (중곡동),"1,645","1,869",OFF,OFF,OFF,OFF,OFF
113,대원주유소,S-OIL,서울 광진구 용마산로 122 (중곡동),"1,649","1,869",OFF,OFF,OFF,OFF,OFF
114,(주)장수주유소,SK에너지,서울 광진구 동일로 266 (군자동),"1,668","1,874",OFF,OFF,ON,OFF,ON
115,삼호주유소,S-OIL,서울 광진구 천호대로 809 (광장동),"1,682","1,897",ON,OFF,OFF,OFF,ON
116,동서울주유소,GS칼텍스,서울 광진구 강변역로 10 (구의동),"1,699","1,898",ON,OFF,OFF,OFF,OFF
117,자양주유소,SK에너지,서울 광진구 아차산로 298 (자양동),"1,758","1,948",ON,OFF,OFF,OFF,ON
118,강평주유소,SK에너지,서울 광진구 아차산로 616 (광장동),"1,798","1,998",ON,OFF,OFF,OFF,ON
119,구인주유소,SK에너지,서울 구로구 경인로 558 (구로동),"1,594","1,824",ON,OFF,ON,ON,OFF
120,SK구로주유소,SK에너지,서울 구로구 구일로 94 (구로동),"1,594","1,824",ON,OFF,OFF,OFF,OFF
121,신성주유소,현대오일뱅크,서울 구로구 구로동로 187 (구로제2동),"1,595","1,827",ON,OFF,OFF,OFF,OFF
122,(주)한미석유구로그린주유소,GS칼텍스,서울 구로구 구로중앙로 76 (구로동),"1,595","1,827",ON,OFF,ON,OFF,OFF
123,처음처럼주유소,S-OIL,서울 구로구 오리로 1299 (궁동),"1,598","1,839",OFF,OFF,OFF,OFF,OFF
124,서서울고속주유소,SK에너지,서울 구로구 경인로 150 (오류동),"1,625","1,805",ON,OFF,OFF,OFF,OFF
125,극동유화(주) 항동주유소,S-OIL,서울 구로구 서해안로 2154 (항동),"1,629","1,849",ON,OFF,OFF,OFF,OFF
126,대원셀프주유소,현대오일뱅크,서울 구로구 개봉로 7,"1,637","1,867",ON,OFF,OFF,OFF,OFF
127,대성산업(주)디큐브주유소,GS칼텍스,서울 구로구 경인로 650 (신도림동),"1,639","1,829",OFF,OFF,OFF,OFF,ON
128,서울석유(주)풀페이주유소,SK에너지,서울 구로구 경인로 41 (온수동),"1,639","1,839",ON,OFF,OFF,ON,ON
129,현대오일뱅크㈜직영 신오류주유소,현대오일뱅크,서울 구로구 경인로 161 (오류동),"1,649","1,835",ON,OFF,ON,ON,OFF
130,SK에너지(주)직영 개봉동주유소,SK에너지,서울 구로구 경인로 290 (개봉동),"1,649","1,840",ON,OFF,OFF,OFF,OFF
131,개봉주유소,현대오일뱅크,서울 구로구 고척로 115 (개봉동),"1,677","1,887",ON,OFF,OFF,OFF,OFF
132, 현대오일뱅크㈜직영 구로셀프주유소,현대오일뱅크,서울 구로구 시흥대로 531,"1,684","1,869",ON,OFF,ON,OFF,ON
133,근린공원주유소,S-OIL,서울 구로구 고척로 199 (고척동),"1,765","1,935",ON,OFF,OFF,OFF,OFF
134,현대오일뱅크(주)직영 신구로주유소,현대오일뱅크,서울 구로구 가마산로 293 (구로동),"1,796","1,880",ON,OFF,OFF,OFF,OFF
135,영진주유소,S-OIL,서울 구로구 구로동로 20 (가리봉동),"1,797","1,997",OFF,OFF,OFF,OFF,OFF
136,JHC에너지,현대오일뱅크,서울 구로구 시흥대로 539,"1,799","1,897",OFF,OFF,ON,OFF,OFF
137,동아주유소,S-OIL,서울 구로구 도림로 91 (구로동),"1,998","1,998",OFF,OFF,OFF,ON,OFF
138,구로주유소,GS칼텍스,서울 구로구 구로동로 137 (구로동),"2,298","2,398",OFF,OFF,OFF,OFF,OFF
139,(주)화동유업 화동주유소,SK에너지,서울 금천구 시흥대로 484,"1,618","1,898",ON,OFF,OFF,OFF,OFF
140,(주)백운주유소,알뜰주유소,서울 금천구 시흥대로 282 (독산동),"1,619","1,879",OFF,OFF,OFF,OFF,OFF
141,대득에너지(금천셀프주유소),GS칼텍스,서울 금천구  시흥대로 81 (시흥동),"1,635","1,935",ON,OFF,OFF,ON,ON
142,구광주유소,S-OIL,서울 금천구 서부샛길 674 (가산동),"1,635","1,825",ON,OFF,OFF,OFF,OFF
143,SK에너지(주) 박미주유소,SK에너지,서울 금천구 시흥대로 39-7 (시흥동),"1,645","1,905",OFF,OFF,OFF,OFF,OFF
144,현대오일뱅크(주)직영 금천현대셀프주유소,현대오일뱅크,서울 금천구 독산로 147 (시흥동),"1,665","1,880",ON,OFF,OFF,OFF,OFF
145,남서울경복에너지,현대오일뱅크,서울 금천구 독산로 257 (독산동),"1,685","1,905",OFF,OFF,OFF,OFF,OFF
146,백산주유소,S-OIL,서울특별시 금천구  시흥대로 174 (시흥동),"1,685","1,898",ON,OFF,ON,OFF,OFF
147,SK에너지(주) 이가주유소,SK에너지,서울 금천구 시흥대로 441,"1,689","1,899",ON,OFF,ON,OFF,OFF
148,현대오일뱅크㈜직영 금천제일주유소,현대오일뱅크,서울 금천구 남부순환로 1410 (독산동),"1,689","1,889",ON,OFF,OFF,OFF,OFF
149,지에스칼텍스(주)일신주유소,GS칼텍스,서울 금천구 시흥대로 118,"1,708","1,930",ON,OFF,OFF,OFF,ON
150,화랑대주유소,현대오일뱅크,서울 노원구 화랑로 483,"1,595","1,865",ON,OFF,OFF,OFF,OFF
151,이엠석유(주)배꽃나라주유소,GS칼텍스,서울 노원구 화랑로 466 (공릉1동),"1,595","1,865",ON,OFF,ON,OFF,OFF
152,월계주유소,GS칼텍스,서울 노원구 월계로 252 (월계동),"1,635","1,805",ON,OFF,ON,OFF,OFF
153,한신주유소,SK에너지,서울 노원구 동일로 1089 (공릉동),"1,645","1,845",ON,OFF,OFF,OFF,OFF
154,삼육주유소,SK에너지,서울 노원구 화랑로 822 (공릉동),"1,645","1,835",ON,OFF,OFF,OFF,OFF
155,태릉솔밭주유소,S-OIL,서울 노원구 노원로 49 (공릉동),"1,645","1,855",ON,OFF,OFF,OFF,ON
156,현대오일뱅크㈜직영 하계주유소,현대오일뱅크,서울 노원구 노원로17길 29 (하계동),"1,655","1,865",ON,OFF,OFF,OFF,OFF
157,(주)소모에너지 수락산셀프주유소,GS칼텍스,서울 노원구 동일로 1772,"1,665","1,843",OFF,OFF,OFF,OFF,OFF
158,SK에너지㈜직영 상계주유소,SK에너지,서울 노원구 노해로 527 (상계동),"1,675","1,875",ON,OFF,OFF,OFF,OFF
159,성북역주유소,GS칼텍스,서울 노원구 광운로 95 (월계동),"1,689","1,879",ON,OFF,OFF,OFF,OFF
160,남선석유(주)구도일주유소 불암,S-OIL,서울 노원구 한글비석로 268 (중계동),"1,705","1,855",ON,OFF,OFF,OFF,OFF
161,신성주유소,S-OIL,서울 노원구 월계로 328 (월계동),"1,718","1,888",ON,OFF,OFF,OFF,ON
162,노원주유소,GS칼텍스,서울 노원구 동일로 1008 (공릉동),"1,759","1,928",ON,OFF,ON,OFF,OFF
163,상계동주유소,현대오일뱅크,서울 노원구 노원로26길 191 (상계동),"1,770","1,980",OFF,OFF,ON,OFF,OFF
164,하계삼호주유소,GS칼텍스,서울 노원구 공릉로 294 (하계동),"1,785","1,981",OFF,OFF,ON,OFF,OFF
165,(주)자연에너지 햇살주유소,현대오일뱅크,서울 도봉구 방학로 142 (방학동),"1,625","1,795",ON,OFF,OFF,OFF,OFF
166,한이에너지(주) 쌍문주유소,S-OIL,서울 도봉구 도봉로 547 (쌍문동),"1,625","1,795",ON,OFF,ON,OFF,ON
167,도봉제일주유소(주)송만에너지,현대오일뱅크,서울 도봉구 도봉로 783 (도봉동),"1,625","1,805",OFF,OFF,OFF,OFF,OFF
168,(주)헨지스에너지 구도일주유소 도봉,S-OIL,서울 도봉구 도봉로 706 (방학동),"1,625","1,815",ON,OFF,ON,OFF,OFF
169,(주)헨지스에너지 구도일주유소 도봉,S-OIL,서울 도봉구 도봉로 706 (방학동),"1,625","1,815",ON,OFF,ON,OFF,OFF
170,극동유화(주) 대안주유소,S-OIL,서울 도봉구 마들로 574 (창동),"1,629","1,849",ON,OFF,ON,OFF,OFF
