,title,isbn,publisher,pubdate,language
754,Black Hat Python (해커와 모의 침투 테스터를 위한 공격용 파이썬 프로그래밍),9788960776982,에이콘출판,20150430,Python
755,컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,9791188831302,연두에디션,20191220,Python
756,완친파 웹크롤러 대마왕편 (데이터 수집으로 상처입은 초보를 위한 책 | 완전 친절한 파이썬),9791196220921,한국정보인재개발원,20190821,Python
757,내가 하는 사물인터넷 프로그래밍 1: 라즈베리 파이 파이썬 편,9791159615146,지식과감성,20170310,Python
758,"파이썬으로 살펴보는 아키텍처 패턴: TDD, DDD, EDM 적용하기 (TDD, DDD, EDM 적용하기)",9791162244319,한빛미디어,20210603,Python
759,Django 한 그릇 뚝딱 (3가지 프로젝트로 파이썬 웹 프로그래밍 단련하기),9791190014571,비제이퍼블릭,20191129,Python
760,파이썬만 잡아도: 기초를 탄탄히 세우는 Python 프로그래밍 (기초를 탄탄히 세우는 Python 프로그래밍),9791187486183,카오스북,20180630,Python
761,데이터 과학을 위한 통계 (데이터 분석에서 머신러닝까지 파이썬과 R로 살펴보는 50가지 핵심 개념),9791162244180,한빛미디어,20210507,Python
762,"강화학습/심층강화학습 특강 (파이썬 기초부터 AI 시스템 구축까지, 실습을 통해 배우는 인공지능 강좌)",9791158392598,위키북스,20210617,Python
763,"빅데이터 시각화 (하둡, R, D3.js, 태블로, 파이썬, 스플렁크로 배우는 빅데이터 시각화)",9791161753706,에이콘출판,20191122,Python
764,PySpark 배우기 (파이썬과 스파크 2.0으로 대용량 데이터 처리 애플리케이션 다루기),9791161750705,에이콘출판,20171030,Python
765,"Pandas Cookbook (과학 연산, 시계열 분석, 파이썬을 이용한 시각화, 정돈된 데이터 만들기)",9791161751252,에이콘출판,20180330,Python
766,실무 예제로 배우는 데이터 공학 (파이썬과 오픈소스 프로젝트로 만드는 나만의 데이터공학환경과 파이프라인),9791191600148,제이펍,20210720,Python
767,"추천 엔진을 구축하기 위한 기본서 (R, 파이썬, 스파크, 머하웃, Neo4j를 이용해 추천 엔진 구축 시작하기)",9791161750460,에이콘출판,20170906,Python
768,기초 수학으로 이해하는 머신러닝 알고리즘 (수학으로 풀어보는 머신러닝 알고리즘과 파이썬 머신러닝 프로그래밍),9791158390914,위키북스,20180213,Python
769,"딥러닝 챗봇 (챗봇 엔진부터 NLP, 딥러닝, 파이썬, REST API, 카카오톡 연동까지)",9791162243541,한빛미디어,20201101,Python
770,"우아한 사이파이 (수학, 과학, 엔지니어링을 위한 파이썬 데이터 분석 라이브러리 SciPy)",9791162240748,한빛미디어,20180601,Python
771,딥러닝을 위한 수학 (인공지능의 핵심 원리를 이해하고 파이썬으로 구현해 보는),9791158391942,위키북스,20200327,Python
772,딥러닝을 위한 최적화와 수치해석 (기본 수식과 파이썬으로 가장 핵심적인 최적화 문제를 다루는 딥러닝 학습!),9791189184032,남가람북스,20200203,Python
773,"OpenCV 4를 활용한 머신러닝 입문 (OpenCV 4, 파이썬, scikit-learn을 사용해 이미지 처리 앱을)",9791161754628,에이콘출판,20201030,Python
774,텐서플로로 시작하는 딥러닝 입문 (그림으로 익히고 파이썬 코드로 구현하는 인공신경망 알고리즘),9791158391270,위키북스,20190103,Python
775,파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),9788956748573,정보문화사,20201008,Python
776,"퀀트 투자를 위한 머신러닝·딥러닝 알고리듬 트레이딩 2/e (파이썬, Pandas, 텐서플로 2.0, Scikit-learn을 활용한 효과적인 트레이딩)",9791161755694,에이콘출판,20210930,Python
777,프로그래밍 정석(개념을 잡아주는) (기초 연산부터 고급 문제해결 능력까지 파이썬을 활용한 효율적인 프로그래밍 학습),9788960771338,에이콘출판,20100504,Python
778,"Let’s Start Coding with Raptor & Python (랩터 & 파이썬) (Computational Thinking for Problem-solving, 2nd Ediiton)",9788993163568,앤아이컴즈,20190815,Python
779,초보자를 위한 아파치 스파크 2 (스칼라와 파이썬을 활용한 대규모 분산 데이터 처리 애플리케이션 개발),9791161751054,에이콘출판,20180131,Python
780,Let’s Start Coding with Raptor & Python(랩터 & 파이썬) (컴퓨터 사고력 프로그래밍),9788993163506,이한미디어,20190305,Python
781,해킹 입문 세트 2/E (『(개정판) 해킹: 공격의 예술』+『파이썬 해킹 프로그래밍: 프로그래머라면 누구나 할 수 있는』),9788960772052,에이콘출판,20110810,Python
782,"실전 예제로 배우는 GAN (파이썬, 텐서플로, 케라스로 다양한 GAN 아키텍처를 구축하고 활용하기)",9791158391652,위키북스,20190724,Python
783,"핸즈온 머신러닝.딥러닝 알고리즘 트레이딩 (파이썬, Pandas, NumPy, Scikit-learn, 케라스를 활용한 효과적인 거래 전략)",9791161754321,에이콘출판,20200731,Python
784,파이썬 라이브러리를 활용한 머신러닝 : 사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서,9788968483394,한빛미디어,20170701,Python
785,"손에 잡히는 실전 비즈니스 인텔리전스 (Power BI, 엑셀, D3.js, R, 파이썬, Qlik, Tableau, Microsoft SQL Server)",9788960779426,에이콘출판,20170428,Python
786,코딩 자율학습 나도코딩의 C 언어 입문 (C 언어의 완공을 돕는 프로그래밍 자습서),9791140701551,길벗,20221010,C언어
787,혼자 공부하는 C 언어 (1:1 과외하듯 배우는 프로그래밍 자습서),9791162241868,한빛미디어,20190610,C언어
788,C언어 Express (Visual Studio 2019),9788970509570,생능출판,20180820,C언어
789,C언어,9791185880976,복두출판사,20150120,C언어
790,C 언어,9788992583701,오성미디어,20100219,C언어
791,C언어,9791186898161,공감북스,20160831,C언어
792,C언어 (퍼즐을 이용한 알고리즘 학습을 통해 창의력 논리력 사고력 증진),9788972839996,도서출판 홍릉(홍릉과학출판사),20120220,C언어
793,C 언어,9788983255341,한올출판사,20090225,C언어
794,C 언어,9788935304738,정익사,20120201,C언어
795,C언어,9788966280605,오성미디어,20130305,C언어
796,이것이 자료구조+알고리즘이다 with C 언어 (문제 해결 능력을 키워주는 자료구조+알고리즘 입문서),9791169210034,한빛미디어,20220803,C언어
797,코딩과의 첫 만남 1:  C언어편 (C언어편),9788984688209,21세기사,20190103,C언어
798,C언어 기초,9788997587285,다올미디어,20180305,C언어
799,C언어 실습,9788992475594,컴원미디어,20140315,C언어
800,C언어 수업,9788970508245,생능출판,20150123,C언어
801,C언어연습 (PBL문제중심학습기반),9788955027792,글로벌,20210210,C언어
802,달콤한 C언어,9791192187051,연두에디션,20220210,C언어
803,C언어 정석 (예제/ 유제/ 연습문제),9788970508207,생능출판,20141125,C언어
804,C언어 기초,9788998756345,한빛아카데미,20130730,C언어
805,C언어 기초와 응용,9791187555414,한산,20220820,C언어
806,C언어 기초 (C언어를 이용한 SW 코팅입문서),9791159066221,복두출판사,20200302,C언어
807,C언어 이해,9788957272947,그린,20190829,C언어
